# Kernel-level ECDSA timing (CLOCK_MONOTONIC_RAW)
# idx|gen_ns|del_ns|keygen_ns(gen-del)
0|159700521|21024844|138675677
1|92704531|24307761|68396770
2|130781979|33839584|96942395
3|81024635|23247292|57777343
4|69893333|32252500|37640833
5|39883854|19616406|20267448
6|61877343|23381458|38495885
7|102017188|37521302|64495886
8|81010990|29822396|51188594
9|75362083|40596197|34765886
10|117066250|28202292|88863958
11|61455313|13335781|48119532
12|60570989|13705782|46865207
13|85508698|15611823|69896875
14|53321718|14637865|38683853
15|61658281|14251875|47406406
16|51846406|18461719|33384687
17|44638386|34168385|10470001
18|41254948|28139948|13115000
19|71324218|34909375|36414843
20|42512500|29669687|12842813
21|70207656|27935781|42271875
22|70937864|32997813|37940051
23|68662032|27025364|41636668
24|73395886|29790885|43605001
25|104824063|31573333|73250730
26|81894636|34390417|47504219
27|80581719|31877969|48703750
28|189598750|39246979|150351771
29|83550052|33227708|50322344
30|77169739|33225052|43944687
31|73696875|34445781|39251094
32|121566354|39437500|82128854
33|91321250|37713073|53608177
34|79698750|35075730|44623020
35|50691302|32686771|18004531
36|48029427|31271406|16758021
37|54402656|26437031|27965625
38|72987552|29217240|43770312
39|84326875|32028230|52298645
40|79467083|33168177|46298906
41|91372917|33855312|57517605
42|98376198|32095833|66280365
43|126412240|31941927|94470313
44|70851667|20081250|50770417
45|113011563|27271614|85739949
46|38107708|23402344|14705364
47|49931355|19481562|30449793
48|60877864|29129844|31748020
49|82188437|21810365|60378072
50|70097031|35785312|34311719
51|59271562|31186511|28085051
52|60988125|31163594|29824531
53|87660625|31601250|56059375
54|97346198|22348750|74997448
55|65030782|30299635|34731147
56|88687500|33280104|55407396
57|102692500|41402552|61289948
58|87392500|34336250|53056250
59|62115417|30624687|31490730
60|105353542|29363385|75990157
61|81074219|32560938|48513281
62|60948906|32619115|28329791
63|105908958|36184688|69724270
64|154132552|28534427|125598125
65|40987032|28724010|12263022
66|69653906|34100834|35553072
67|92539219|40605365|51933854
68|118773333|35110938|83662395
69|97795938|33390677|64405261
70|53400625|31746771|21653854
71|74974063|31686093|43287970
72|97297657|23116094|74181563
73|87406250|31395573|56010677
74|56633333|30881198|25752135
75|126612656|27379532|99233124
76|111847136|20928541|90918595
77|90478593|30278646|60199947
78|61704219|18508438|43195781
79|78477812|32862448|45615364
80|75807864|30479063|45328801
81|64804843|32862396|31942447
82|62853229|33357812|29495417
83|92939062|45174219|47764843
84|61766302|28864375|32901927
85|39140990|28245625|10895365
86|61987968|32100781|29887187
87|58654427|24893750|33760677
88|58969219|31890000|27079219
89|97877968|16269010|81608958
90|79800729|32191250|47609479
91|42018750|34126302|7892448
92|57192448|29737969|27454479
93|55292188|32323281|22968907
94|63377187|33135364|30241823
95|79389688|34609687|44780001
96|49583438|21663125|27920313
97|125243594|27955729|97287865
98|40886927|22544740|18342187
99|51169896|32192969|18976927
100|83112813|25453594|57659219
101|50665885|30600781|20065104
102|80825000|32062032|48762968
103|55745938|26678438|29067500
104|72048489|34004271|38044218
105|98354583|35668906|62685677
106|65753125|33125416|32627709
107|47133906|33516718|13617188
108|81420417|32861094|48559323
109|97851041|32065468|65785573
110|107771094|33045000|74726094
111|67604531|32732917|34871614
112|79995052|32623750|47371302
113|60863750|35510000|25353750
114|87434844|27944948|59489896
115|49264479|24757969|24506510
116|99284791|33243489|66041302
117|57127083|28482500|28644583
118|90215729|33495000|56720729
119|83482447|23587031|59895416
120|108508854|37481250|71027604
121|62780208|33551041|29229167
122|83958437|30893802|53064635
123|40245261|33047187|7198074
124|75443021|27143281|48299740
125|58789740|31490990|27298750
126|90225729|42858125|47367604
